Time,Power
03-15-20:17:13,43.25
03-15-20:17:33,75.5
03-15-20:17:53,99.5
03-15-20:18:13,117.5
03-15-20:18:33,131.25
03-15-20:18:53,141.5
03-15-20:19:13,150
03-15-20:19:33,155.5
03-15-20:19:53,159.75
03-15-20:20:13,162.25
03-15-20:20:33,164.5
03-15-20:20:54,166.5
03-15-20:21:14,167.75
03-15-20:21:34,168.5
03-15-20:21:54,170.25
03-15-20:22:14,171
03-15-20:22:34,171.75
03-15-20:22:54,171.75
03-15-20:23:14,171.75
03-15-20:23:34,171.5
03-15-20:23:54,171.75
03-15-20:24:14,171.5
03-15-20:24:34,171.75
03-15-20:24:54,172.25
03-15-20:25:14,172.25
03-15-20:25:34,172.5
03-15-20:25:54,172.5
03-15-20:26:14,173
03-15-20:26:34,176
03-15-20:26:54,176.75
03-15-20:27:14,176
03-15-20:27:34,176.25
03-15-20:27:54,175.75
03-15-20:28:14,175.25
03-15-20:28:34,175.25
03-15-20:28:54,174.75
03-15-20:29:14,173.75
03-15-20:29:34,173.25
03-15-20:29:54,173.75
03-15-20:30:14,173.25
03-15-20:30:34,173
03-15-20:30:54,175.75
03-15-20:31:14,174.75
03-15-20:31:34,174
03-15-20:31:54,173.75
03-15-20:32:14,173.5
03-15-20:32:34,172.75
03-15-20:32:54,172
03-15-20:33:14,172.75
03-15-20:33:34,172.25
03-15-20:33:54,172.5
03-15-20:34:14,172.75
03-15-20:34:34,172.5
03-15-20:34:54,172.25
03-15-20:35:14,174.5
03-15-20:35:34,173.75
03-15-20:35:54,170
03-15-20:36:14,168.75
03-15-20:36:35,169
03-15-20:36:54,166.75
03-15-20:37:14,164.5
03-15-20:37:34,163.5
03-15-20:37:55,162.75
03-15-20:38:15,161.5
03-15-20:38:35,160.5
03-15-20:38:55,161.5
03-15-20:39:15,161
03-15-20:39:35,162
03-15-20:39:55,163.75
03-15-20:40:15,162.5
03-15-20:40:35,161.75
03-15-20:40:55,161
03-15-20:41:15,160.5
03-15-20:41:35,160
03-15-20:41:55,162.75
03-15-20:42:15,162.25
03-15-20:42:35,162.25
03-15-20:42:55,161.75
03-15-20:43:15,161
03-15-20:43:35,162.75
03-15-20:43:55,162.5
03-15-20:44:15,164.25
03-15-20:44:35,167.5
03-15-20:44:55,167
03-15-20:45:15,165
03-15-20:45:35,163.75
03-15-20:45:55,162.5
03-15-20:46:15,161.75
03-15-20:46:35,160.5
03-15-20:46:55,160.25
03-15-20:47:15,160.5
03-15-20:47:35,162.25
03-15-20:47:55,163.75
03-15-20:48:15,165
03-15-20:48:35,163.5
03-15-20:48:55,162.25
03-15-20:49:15,161.75
03-15-20:49:35,160.5
03-15-20:49:55,159.75
03-15-20:50:15,160.25
03-15-20:50:35,162.75
03-15-20:50:55,164
03-15-20:51:15,163
03-15-20:51:35,162
03-15-20:51:55,161.25
03-15-20:52:15,160.5
03-15-20:52:35,161
03-15-20:52:55,161.75
03-15-20:53:15,162.25
03-15-20:53:36,162
03-15-20:53:55,161.75
03-15-20:54:16,161.25
03-15-20:54:35,160.75
03-15-20:54:56,159.75
03-15-20:55:15,161.75
03-15-20:55:36,163.75
03-15-20:55:56,165
03-15-20:56:16,164.75
03-15-20:56:36,168
03-15-20:56:56,165.75
03-15-20:57:16,164.75
03-15-20:57:36,163
03-15-20:57:56,162.25
03-15-20:58:16,161.25
03-15-20:58:36,160.5
03-15-20:58:56,160.25
03-15-20:59:16,159.75
03-15-20:59:36,159
03-15-20:59:56,159.25
03-15-21:00:16,159.75
03-15-21:00:36,159.25
03-15-21:00:56,162
03-15-21:01:16,164.5
03-15-21:01:36,163.25
03-15-21:01:56,162.5
03-15-21:02:16,157
03-15-21:02:36,153.25
03-15-21:02:56,150
03-15-21:03:16,135
03-15-21:03:36,120.5
03-15-21:03:56,104
03-15-21:04:16,92
03-15-21:04:36,83
03-15-21:04:56,76.25
03-15-21:05:16,75.5
03-15-21:05:36,70.25
03-15-21:05:56,62
03-15-21:06:16,56
03-15-21:06:36,51.25
03-15-21:06:56,47.5
03-15-21:07:16,44.5
03-15-21:07:36,43
03-15-21:07:56,42.25
03-15-21:08:16,41.25
03-15-21:08:36,40
03-15-21:08:56,39.5
03-15-21:09:16,38.5
03-15-21:09:36,38
03-15-21:09:56,38
03-15-21:10:16,38
03-15-21:10:36,38.5
