Time,Power
03-15-20:17:13,20.75
03-15-20:17:33,35.5
03-15-20:17:53,47.5
03-15-20:18:12,56.25
03-15-20:18:33,62.75
03-15-20:18:52,67
03-15-20:19:13,70.75
03-15-20:19:33,73.75
03-15-20:19:53,75.75
03-15-20:20:13,77.25
03-15-20:20:33,78.75
03-15-20:20:53,79.25
03-15-20:21:13,80.25
03-15-20:21:33,80.75
03-15-20:21:53,81
03-15-20:22:13,81.5
03-15-20:22:33,81.75
03-15-20:22:53,81.75
03-15-20:23:13,82.25
03-15-20:23:33,82.25
03-15-20:23:53,82.5
03-15-20:24:13,82.75
03-15-20:24:33,82.5
03-15-20:24:53,82.75
03-15-20:25:13,82
03-15-20:25:33,82.5
03-15-20:25:53,82.75
03-15-20:26:13,82.5
03-15-20:26:33,82.25
03-15-20:26:53,82.75
03-15-20:27:13,82.5
03-15-20:27:33,82.25
03-15-20:27:53,82.75
03-15-20:28:13,82.5
03-15-20:28:33,82.5
03-15-20:28:53,82.25
03-15-20:29:13,82.75
03-15-20:29:33,83
03-15-20:29:53,83.5
03-15-20:30:13,83
03-15-20:30:33,83.5
03-15-20:30:53,82.75
03-15-20:31:13,82
03-15-20:31:33,82.5
03-15-20:31:53,82.75
03-15-20:32:13,82.25
03-15-20:32:34,82.75
03-15-20:32:53,82.75
03-15-20:33:13,82.5
03-15-20:33:34,82.25
03-15-20:33:54,82.75
03-15-20:34:13,82.25
03-15-20:34:34,82.5
03-15-20:34:54,82.25
03-15-20:35:14,82.5
03-15-20:35:33,82.25
03-15-20:35:54,82.25
03-15-20:36:14,82.75
03-15-20:36:34,82.5
03-15-20:36:54,82.75
03-15-20:37:14,82.25
03-15-20:37:34,82
03-15-20:37:54,82.25
03-15-20:38:14,82
03-15-20:38:34,82.5
03-15-20:38:54,82
03-15-20:39:14,82.5
03-15-20:39:34,82
03-15-20:39:54,82
03-15-20:40:14,83
03-15-20:40:34,83.5
03-15-20:40:54,83.25
03-15-20:41:14,83.5
03-15-20:41:34,84
03-15-20:41:54,83.75
03-15-20:42:14,83
03-15-20:42:34,83
03-15-20:42:54,83.25
03-15-20:43:14,83
03-15-20:43:34,83.25
03-15-20:43:54,83.75
03-15-20:44:14,83.25
03-15-20:44:34,83
03-15-20:44:54,83.25
03-15-20:45:14,83
03-15-20:45:34,83.25
03-15-20:45:54,83.25
03-15-20:46:14,83.5
03-15-20:46:34,83
03-15-20:46:54,83.5
03-15-20:47:14,83.75
03-15-20:47:34,83.25
03-15-20:47:54,83.5
03-15-20:48:14,83
03-15-20:48:34,82.75
03-15-20:48:54,83
03-15-20:49:14,83.75
03-15-20:49:34,83
03-15-20:49:54,82.5
03-15-20:50:14,82.5
03-15-20:50:34,82.5
03-15-20:50:55,82.5
03-15-20:51:14,82.75
03-15-20:51:35,82.75
03-15-20:51:54,82.25
03-15-20:52:15,82.5
03-15-20:52:35,82
03-15-20:52:55,82
03-15-20:53:15,82.25
03-15-20:53:35,82.75
03-15-20:53:55,82.5
03-15-20:54:15,82.25
03-15-20:54:35,82.25
03-15-20:54:55,82.75
03-15-20:55:15,82.25
03-15-20:55:35,82.5
03-15-20:55:55,82.5
03-15-20:56:15,82.25
03-15-20:56:35,82.5
03-15-20:56:55,82.25
03-15-20:57:15,82
03-15-20:57:35,82.75
03-15-20:57:55,82.5
03-15-20:58:15,82.5
03-15-20:58:35,83
03-15-20:58:55,83
03-15-20:59:15,83.25
03-15-20:59:35,83
03-15-20:59:55,83
03-15-21:00:15,83
03-15-21:00:35,83
03-15-21:00:55,83
03-15-21:01:15,83
03-15-21:01:35,83
03-15-21:01:55,83.25
03-15-21:02:15,83
03-15-21:02:35,83.25
03-15-21:02:55,83
03-15-21:03:15,83
03-15-21:03:35,83.75
03-15-21:03:55,83
03-15-21:04:15,83
03-15-21:04:35,65.25
03-15-21:04:55,50.25
03-15-21:05:15,42
03-15-21:05:35,33
03-15-21:05:55,26.25
03-15-21:06:16,21
03-15-21:06:36,17.25
03-15-21:06:55,14.25
03-15-21:07:15,12
03-15-21:07:35,10.5
03-15-21:07:55,9
03-15-21:08:15,8.25
03-15-21:08:35,7.5
03-15-21:08:56,6.75
03-15-21:09:16,6
03-15-21:09:35,6
03-15-21:09:55,6
03-15-21:10:15,6
03-15-21:10:36,6
03-15-21:10:56,6
03-15-21:11:16,6
03-15-21:11:36,6
03-15-21:11:56,6
03-15-21:12:16,6
03-15-21:12:36,6
03-15-21:12:56,6
03-15-21:13:16,6
03-15-21:13:36,6
03-15-21:13:56,6
03-15-21:14:16,6
03-15-21:14:36,6
03-15-21:14:56,6
03-15-21:15:16,6
03-15-21:15:36,6
03-15-21:15:56,6
03-15-21:16:16,6
03-15-21:16:36,6
03-15-21:16:56,6
03-15-21:17:16,6
03-15-21:17:36,6
03-15-21:17:56,6
03-15-21:18:16,6
03-15-21:18:36,6
03-15-21:18:56,6
03-15-21:19:16,6.25
03-15-21:19:36,6
03-15-21:19:56,6
03-15-21:20:16,6
03-15-21:20:36,6
03-15-21:20:56,6
03-15-21:21:16,6
03-15-21:21:36,6
03-15-21:21:56,6
03-15-21:22:16,6
03-15-21:22:36,6
03-15-21:22:56,6
03-15-21:23:16,6
03-15-21:23:36,6
03-15-21:23:56,6
03-15-21:24:16,6
03-15-21:24:36,6
03-15-21:24:57,6
03-15-21:25:16,6
03-15-21:25:36,6
03-15-21:25:56,6
03-15-21:26:16,6
03-15-21:26:37,6
03-15-21:26:57,6
03-15-21:27:16,6
03-15-21:27:37,6
03-15-21:27:57,6
03-15-21:28:17,6
03-15-21:28:37,6
03-15-21:28:57,6
03-15-21:29:17,6
03-15-21:29:37,6
03-15-21:29:57,6
03-15-21:30:17,6
03-15-21:30:37,6
03-15-21:30:57,6
03-15-21:31:17,6.25
03-15-21:31:37,6
03-15-21:31:57,6
03-15-21:32:17,6
03-15-21:32:37,6
03-15-21:32:57,6
03-15-21:33:17,6
03-15-21:33:37,6
03-15-21:33:57,6
03-15-21:34:17,6
03-15-21:34:37,6
03-15-21:34:57,6
03-15-21:35:17,6
03-15-21:35:37,6
03-15-21:35:57,6
03-15-21:36:17,6
03-15-21:36:37,6
03-15-21:36:57,6
03-15-21:37:17,6
03-15-21:37:37,6
03-15-21:37:57,6
03-15-21:38:17,6
03-15-21:38:37,6
03-15-21:38:57,6
03-15-21:39:17,6
03-15-21:39:37,6
03-15-21:39:57,6
03-15-21:40:17,6
03-15-21:40:37,6
03-15-21:40:57,6
03-15-21:41:17,6
03-15-21:41:37,6
03-15-21:41:57,6.25
03-15-21:42:17,6
03-15-21:42:37,6
03-15-21:42:58,6
03-15-21:43:17,6
03-15-21:43:37,6
03-15-21:43:57,6
03-15-21:44:18,6
03-15-21:44:38,6
03-15-21:44:58,6
03-15-21:45:17,6
03-15-21:45:38,6
03-15-21:45:58,6
03-15-21:46:18,6
03-15-21:46:39,6
03-15-21:46:58,6
03-15-21:47:18,6
03-15-21:47:38,6
03-15-21:47:58,6
03-15-21:48:18,6
03-15-21:48:38,6
03-15-21:48:58,6
03-15-21:49:18,6
03-15-21:49:38,6
03-15-21:49:58,6
03-15-21:50:18,6
03-15-21:50:38,6
03-15-21:50:58,6
03-15-21:51:18,6
03-15-21:51:38,6
03-15-21:51:58,6
03-15-21:52:18,6
03-15-21:52:38,6
03-15-21:52:58,6
03-15-21:53:18,6
03-15-21:53:38,6
03-15-21:53:58,6
03-15-21:54:18,6
03-15-21:54:38,6
03-15-21:54:58,6
03-15-21:55:18,6.25
03-15-21:55:38,6
03-15-21:55:58,6
03-15-21:56:18,6
03-15-21:56:38,6
03-15-21:56:58,6
03-15-21:57:18,6
03-15-21:57:38,6
03-15-21:57:58,6
03-15-21:58:18,6
03-15-21:58:38,6
03-15-21:58:58,6
03-15-21:59:18,6
03-15-21:59:38,6
03-15-21:59:58,6
03-15-22:00:18,6
03-15-22:00:38,6
03-15-22:00:58,6
03-15-22:01:18,6
03-15-22:01:38,6
03-15-22:01:59,6
03-15-22:02:18,6
03-15-22:02:38,4.5
03-15-22:02:58,4.5
03-15-22:03:19,4.5
03-15-22:03:39,4.5
03-15-22:03:59,4.5
03-15-22:04:19,4.5
03-15-22:04:39,4.5
03-15-22:04:59,4.5
03-15-22:05:19,4.5
03-15-22:05:38,4.5
03-15-22:05:59,4.5
03-15-22:06:19,4.5
03-15-22:06:39,4.5
03-15-22:06:59,4.5
03-15-22:07:19,4.5
03-15-22:07:39,4.5
03-15-22:07:59,4.5
03-15-22:08:19,4.5
03-15-22:08:39,4.5
03-15-22:08:59,4.5
03-15-22:09:19,4.5
03-15-22:09:39,4.5
03-15-22:09:59,4.5
03-15-22:10:19,4.5
03-15-22:10:39,4.5
03-15-22:10:59,4.5
03-15-22:11:19,4.5
03-15-22:11:39,4.5
03-15-22:11:59,4.5
03-15-22:12:19,4.5
03-15-22:12:39,4.5
03-15-22:12:59,4.5
03-15-22:13:19,4.5
03-15-22:13:39,4.5
03-15-22:13:59,4.5
03-15-22:14:19,4.5
03-15-22:14:39,4.5
03-15-22:14:59,4.5
03-15-22:15:19,4.5
03-15-22:15:39,4.5
03-15-22:15:59,4.5
03-15-22:16:19,4.5
03-15-22:16:39,4.5
03-15-22:16:59,4.5
03-15-22:17:19,4.5
03-15-22:17:39,4.5
03-15-22:17:59,4.5
03-15-22:18:19,4.5
