Time,Power
03-15-20:17:13,24.75
03-15-20:17:32,42.5
03-15-20:17:52,56
03-15-20:18:12,66.5
03-15-20:18:32,73.75
03-15-20:18:52,79
03-15-20:19:12,83.5
03-15-20:19:33,86.25
03-15-20:19:52,88.5
03-15-20:20:12,90
03-15-20:20:33,91.5
03-15-20:20:52,92.25
03-15-20:21:13,93
03-15-20:21:32,93.75
03-15-20:21:53,94
03-15-20:22:13,94.25
03-15-20:22:33,94.75
03-15-20:22:53,94.25
03-15-20:23:13,94
03-15-20:23:33,94.25
03-15-20:23:53,94.5
03-15-20:24:13,94.25
03-15-20:24:33,94.5
03-15-20:24:53,94.75
03-15-20:25:13,94.25
03-15-20:25:33,94.5
03-15-20:25:53,94.25
03-15-20:26:13,94.5
03-15-20:26:33,94.5
03-15-20:26:53,94.5
03-15-20:27:13,94.5
03-15-20:27:33,94.5
03-15-20:27:53,94.5
03-15-20:28:13,94.5
03-15-20:28:33,94.5
03-15-20:28:53,94.75
03-15-20:29:13,94.75
03-15-20:29:33,94.75
03-15-20:29:53,94.25
03-15-20:30:13,95
03-15-20:30:33,95.25
03-15-20:30:53,95
03-15-20:31:13,95
03-15-20:31:33,95.5
03-15-20:31:53,95
03-15-20:32:13,95.25
03-15-20:32:34,95.5
03-15-20:32:53,95
03-15-20:33:13,95
03-15-20:33:33,95
03-15-20:33:54,95.25
03-15-20:34:13,95.25
03-15-20:34:33,95
03-15-20:34:54,95.25
03-15-20:35:13,95
03-15-20:35:33,95
03-15-20:35:54,95.25
03-15-20:36:14,95.25
03-15-20:36:34,95.5
03-15-20:36:53,95.25
03-15-20:37:14,96
03-15-20:37:33,95.75
03-15-20:37:54,95.5
03-15-20:38:14,95.25
03-15-20:38:34,95.25
03-15-20:38:54,95.5
03-15-20:39:14,95.25
03-15-20:39:34,95
03-15-20:39:54,95.25
03-15-20:40:14,95
03-15-20:40:34,95
03-15-20:40:54,95.25
03-15-20:41:14,95.25
03-15-20:41:34,95.5
03-15-20:41:54,95.25
03-15-20:42:14,95
03-15-20:42:34,95.25
03-15-20:42:54,95.25
03-15-20:43:14,95.25
03-15-20:43:34,95.25
03-15-20:43:54,95
03-15-20:44:14,95
03-15-20:44:34,95.25
03-15-20:44:54,95.25
03-15-20:45:14,95.5
03-15-20:45:34,95.5
03-15-20:45:54,95.5
03-15-20:46:14,95
03-15-20:46:34,95
03-15-20:46:54,95.5
03-15-20:47:14,95.75
03-15-20:47:34,96.25
03-15-20:47:54,95.75
03-15-20:48:14,95.5
03-15-20:48:34,95.75
03-15-20:48:54,95.75
03-15-20:49:14,95
